Year,Category,Energy Carrier,TJ
1980,Gross consumption,electricity,-29450.0
1980,Gross consumption,Petroleum,321250.0
1980,Gross consumption,District heating,0.0
1980,Gross consumption,gas,36280.0
1980,Gross consumption,Wood energy,26280.0
1980,Gross consumption,Core fuel,149050.0
1980,Gross consumption,Money,14300.0
1980,Gross consumption,Garbage and industrial waste,10100.0
1980,Gross consumption,crude oil,191970.0
1980,Gross consumption,Extendation of renewable energies,
1980,Gross consumption,Hydropower,120750.0
1980,"Self -consumption of the energy sector, network losses, consumption of storage",electricity,-17020.0
1980,"Self -consumption of the energy sector, network losses, consumption of storage",Petroleum,-8330.0
1980,"Self -consumption of the energy sector, network losses, consumption of storage",District heating,-1000.0
1980,"Self -consumption of the energy sector, network losses, consumption of storage",gas,-2270.0
1980,"Self -consumption of the energy sector, network losses, consumption of storage",Wood energy,
1980,"Self -consumption of the energy sector, network losses, consumption of storage",Core fuel,
1980,"Self -consumption of the energy sector, network losses, consumption of storage",Money,
1980,"Self -consumption of the energy sector, network losses, consumption of storage",Garbage and industrial waste,
1980,"Self -consumption of the energy sector, network losses, consumption of storage",crude oil,
1980,"Self -consumption of the energy sector, network losses, consumption of storage",Extendation of renewable energies,
1980,"Self -consumption of the energy sector, network losses, consumption of storage",Hydropower,
1980,End consumption - services,electricity,32560.0
1980,End consumption - services,Petroleum,74860.0
1980,End consumption - services,District heating,4620.0
1980,End consumption - services,gas,4660.0
1980,End consumption - services,Wood energy,960.0
1980,End consumption - services,Core fuel,
1980,End consumption - services,Money,40.0
1980,End consumption - services,Garbage and industrial waste,0.0
1980,End consumption - services,crude oil,
1980,End consumption - services,Extendation of renewable energies,
1980,End consumption - services,Hydropower,
1980,End consumption - households,electricity,36270.0
1980,End consumption - households,Petroleum,164890.0
1980,End consumption - households,District heating,2160.0
1980,End consumption - households,gas,11370.0
1980,End consumption - households,Wood energy,23910.0
1980,End consumption - households,Core fuel,
1980,End consumption - households,Money,3710.0
1980,End consumption - households,Garbage and industrial waste,0.0
1980,End consumption - households,crude oil,
1980,End consumption - households,Extendation of renewable energies,
1980,End consumption - households,Hydropower,
1980,End consumption - industry,electricity,48670.0
1980,End consumption - industry,Petroleum,67020.0
1980,End consumption - industry,District heating,1140.0
1980,End consumption - industry,gas,12380.0
1980,End consumption - industry,Wood energy,1410.0
1980,End consumption - industry,Core fuel,
1980,End consumption - industry,Money,9880.0
1980,End consumption - industry,Garbage and industrial waste,3700.0
1980,End consumption - industry,crude oil,
1980,End consumption - industry,Extendation of renewable energies,
1980,End consumption - industry,Hydropower,
1980,End consumption - statistical difference including agriculture,electricity,1890.0
1980,End consumption - statistical difference including agriculture,Petroleum,3890.0
1980,End consumption - statistical difference including agriculture,District heating,0.0
1980,End consumption - statistical difference including agriculture,gas,1600.0
1980,End consumption - statistical difference including agriculture,Wood energy,0.0
1980,End consumption - statistical difference including agriculture,Core fuel,
1980,End consumption - statistical difference including agriculture,Money,0.0
1980,End consumption - statistical difference including agriculture,Garbage and industrial waste,0.0
1980,End consumption - statistical difference including agriculture,crude oil,
1980,End consumption - statistical difference including agriculture,Extendation of renewable energies,
1980,End consumption - statistical difference including agriculture,Hydropower,
1980,End consumption - total,electricity,126910.0
1980,End consumption - total,Petroleum,489480.0
1980,End consumption - total,District heating,7920.0
1980,End consumption - total,gas,30370.0
1980,End consumption - total,Wood energy,26280.0
1980,End consumption - total,Core fuel,0.0
1980,End consumption - total,Money,13630.0
1980,End consumption - total,Garbage and industrial waste,3700.0
1980,End consumption - total,crude oil,0.0
1980,End consumption - total,Extendation of renewable energies,
1980,End consumption - total,Hydropower,0.0
1980,End consumption - traffic,electricity,7520.0
1980,End consumption - traffic,Petroleum,178820.0
1980,End consumption - traffic,District heating,
1980,End consumption - traffic,gas,360.0
1980,End consumption - traffic,Wood energy,
1980,End consumption - traffic,Core fuel,
1980,End consumption - traffic,Money,
1980,End consumption - traffic,Garbage and industrial waste,
1980,End consumption - traffic,crude oil,
1980,End consumption - traffic,Extendation of renewable energies,
1980,End consumption - traffic,Hydropower,
1980,Energy conversion - various renewable,electricity,
1980,Energy conversion - various renewable,Petroleum,
1980,Energy conversion - various renewable,District heating,0.0
1980,Energy conversion - various renewable,gas,
1980,Energy conversion - various renewable,Wood energy,0.0
1980,Energy conversion - various renewable,Core fuel,
